121120,Virgin Courtyard,1,Chandigarh,"Backside, SCO 1A, Madhya Marg, Sector 7, Chandigarh",Sector 7,"Sector 7, Chandigarh",76.7976205,30.7334795,Italian,2200,Indian Rupees(Rs.),No,No,No,No,4,4.4,Green,Very Good,817,https://b.zmtcdn.com/data/pictures/0/121120/e7321a4ff6cd1f8b0b3faae762797aaa_featured_v2.jpg,https://b.zmtcdn.com/data/pictures/0/121120/e7321a4ff6cd1f8b0b3faae762797aaa_featured_v2.jpg
122830,Uncle Jack's,1,Chandigarh,"Booth 11, Sector 8, Chandigarh",Sector 8,"Sector 8, Chandigarh",76.7972148,30.7408896,"Desserts, American",600,Indian Rupees(Rs.),No,No,No,No,2,4,Green,Very Good,356,https://b.zmtcdn.com/data/pictures/0/122830/803753b04eea69028505ace6a3f14658_featured_v2.jp,https://b.zmtcdn.com/data/pictures/0/122830/803753b04eea69028505ace6a3f14658_featured_v2.jp
122940,Burgrill,1,Chandigarh,"Booth 70, Sector 8, Chandigarh",Sector 8,"Sector 8, Chandigarh",76.7978909,30.740827,"Burger, Fast Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,4.5,Dark Green,Excellent,249,https://b.zmtcdn.com/data/pictures/0/122940/b14c220c163994a746ab0c65ecee57ec_featured_v2.jpg,https://b.zmtcdn.com/data/pictures/0/122940/b14c220c163994a746ab0c65ecee57ec_featured_v2.jpg
123010,Taco Bell,1,Chandigarh,"SCO 453-454, Sector 35C, Sector 35, Chandigarh",Sector 35,"Sector 35, Chandigarh",76.75984483,30.72114167,"Mexican, Fast Food",600,Indian Rupees(Rs.),No,Yes,No,No,2,4.2,Green,Very Good,252,https://b.zmtcdn.com/data/pictures/0/123010/a5d6183ad4485dca0126bc26baa08715_featured_v2.jpg,https://b.zmtcdn.com/data/pictures/0/123010/a5d6183ad4485dca0126bc26baa08715_featured_v2.jpg
1430,Ashoka Restaurant,1,Faridabad,"Main Market, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad",77.3203273,28.4104693,North Indian,400,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,43,https://b.zmtcdn.com/data/pictures/0/1430/11f1a9db73808a355cbbb0f1de3b3ce8_featured_v2.jpg,https://b.zmtcdn.com/data/pictures/0/1430/11f1a9db73808a355cbbb0f1de3b3ce8_featured_v2.jpg
1820,Chickenette,1,Faridabad,"11 & 12, Main Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad",77.3244107,28.3951035,"Raw Meats, North Indian, Chinese, Fast Food",650,Indian Rupees(Rs.),No,No,No,No,2,3.7,Yellow,Good,280,https://b.zmtcdn.com/data/pictures/0/1820/b9687faf0a78a8cdbd26f1ab9a917993_featured_v2.jpg,https://b.zmtcdn.com/data/pictures/0/1820/b9687faf0a78a8cdbd26f1ab9a917993_featured_v2.jpg
18258480,Chimney,1,Faridabad,"SCF 9, Near Bank of India, Sector 11, Faridabad",Sector 11,"Sector 11, Faridabad",77.319026,28.3725172,"North Indian, Mughlai, Chinese",800,Indian Rupees(Rs.),Yes,Yes,No,No,2,3.3,Orange,Average,25,https://b.zmtcdn.com/data/pictures/0/18258480/36ab6c7f48e390bae3c788971b5abf77_featured_v2.jpg,https://b.zmtcdn.com/data/pictures/0/18258480/36ab6c7f48e390bae3c788971b5abf77_featured_v2.jpg
18380180,The Street Kitchen,1,Faridabad,"Shop 139, Main HUDA Market, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad",77.3185772,28.4107084,"North Indian, Chinese",400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0,https://b.zmtcdn.com/data/pictures/0/18380180/2f316d4a2c4e593bce30dbbe3cc5d237_featured_v2.jpg,https://b.zmtcdn.com/data/pictures/0/18380180/2f316d4a2c4e593bce30dbbe3cc5d237_featured_v2.jpg
18425750,Tandoori Zaaika's,1,Faridabad,"Tigaon Road, Near Omaxe, Sector 86, Faridabad",Sector 86,"Sector 86, Faridabad",77.336292,28.4102194,"North Indian, Chinese",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,39,https://b.zmtcdn.com/data/pictures/0/18425750/8131602a64b785b80fa09c2d63ba0a9b_featured_v2.jpg,https://b.zmtcdn.com/data/pictures/0/18425750/8131602a64b785b80fa09c2d63ba0a9b_featured_v2.jpg
18466420,Chaudhary Chaap & Chinese,1,Faridabad,"Shop 137, Huda Market, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad",77.3187017,28.4106649,"Chinese, North Indian",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0,https://b.zmtcdn.com/data/pictures/0/18466420/9205046aaa25cc54deb6c9f7ba601717_featured_v2.jpg,https://b.zmtcdn.com/data/pictures/0/18466420/9205046aaa25cc54deb6c9f7ba601717_featured_v2.jpg
